name,throws,age,stints,teamID,LG,POS1,W,L,CG,ShO,GP,GS,SV,GF,IPOuts, IP , ERA ,HA,ER,HRA,BBA,SOA,IBBA,WP,HPBA,BK,BFP,RA, CMD , DOM , CTL , HR9 , WHIP , WRIP ,HRBIB, RAVG , FIP , DERA , STUFF , GURU ,salary,WAR
Ar Jurado,R,23,1,TEX,AL,Reliever,7,11,1,0,32,18,0,3,367,122.3, 5.81 ,148,79,21,36,81,1,3,4,0,541,94, 2.3 , 6.0 , 2.6 , 1.5 , 1.50 , 2.01 , 0.08 , 6.92 , 5.09 ,4.88, 5 , 26 ,0.468488,0.9
Ke Kela,R,26,1,PIT,NL,Reliever,2,0,0,0,32,0,1,8,89,29.7, 2.12 ,19,7,3,11,33,0,1,1,0,119,7, 3.0 , 10.0 , 3.3 , 0.9 , 1.01 , 1.38 , 0.06 , 2.12 , 3.50 ,3.46, 132 , 39 ,3.175,0.4
Br Keller,R,23,1,KCA,AL,Starter,7,14,0,0,28,28,0,0,496,165.3, 4.19 ,154,77,15,70,122,2,9,9,1,709,80, 1.7 , 6.6 , 3.8 , 0.8 , 1.35 , 1.33 , 0.04 , 4.35 , 4.34 ,4.3, 17 , 46 ,0.578175,2.3
Sh Kelley,R,35,1,TEX,AL,Reliever,5,2,0,0,50,0,11,23,142,47.3, 4.94 ,55,26,12,11,43,2,2,2,0,205,27, 3.9 , 8.2 , 2.1 , 2.3 , 1.39 , 2.77 , 0.14 , 5.13 , 5.50 ,5.03, 32 , 12 ,2.5625,-0.2
Jo Kelly,R,31,1,LAN,NL,Reliever,5,4,0,0,55,0,1,13,154,51.3, 4.56 ,49,26,6,22,62,2,10,3,0,226,31, 2.8 , 10.9 , 3.9 , 1.1 , 1.38 , 1.60 , 0.07 , 5.44 , 3.76 ,3.56, 151 , 43 ,3.0,0.4
Me Kelly,R,31,1,ARI,NL,Starter,13,14,0,0,32,32,0,0,550,183.3, 4.42 ,184,90,29,57,158,4,4,2,0,777,95, 2.8 , 7.8 , 2.8 , 1.4 , 1.31 , 1.89 , 0.08 , 4.66 , 4.50 ,4.3, 38 , 50 ,2.0,1.4
Ia Kennedy,R,34,1,KCA,AL,Reliever,3,2,0,0,63,0,30,51,190,63.3, 3.41 ,64,24,6,17,73,1,3,1,0,266,24, 4.3 , 10.4 , 2.4 , 0.9 , 1.28 , 1.22 , 0.05 , 3.41 , 2.98 ,2.92, 184 , 94 ,16.5,1.5
Cl Kershaw,L,31,1,LAN,NL,Starter,16,5,0,0,29,28,0,0,535,178.3, 3.03 ,145,60,28,41,189,0,7,2,1,706,63, 4.6 , 9.5 , 2.1 , 1.4 , 1.04 , 1.80 , 0.09 , 3.18 , 3.84 ,3.75, 115 , 72 ,31.0,3.4
Da Keuchel,L,31,1,ATL,NL,Reliever,8,8,0,0,19,19,0,0,338,112.7, 3.75 ,115,47,16,39,91,1,6,9,0,487,50, 2.3 , 7.3 , 3.1 , 1.3 , 1.37 , 1.77 , 0.07 , 3.99 , 4.71 ,4.61, 24 , 29 ,13.0,0.8
Yu Kikuchi,L,28,1,SEA,AL,Starter,6,11,1,1,32,32,0,0,485,161.7, 5.46 ,195,98,36,50,116,0,5,6,1,721,109, 2.3 , 6.5 , 2.8 , 2.0 , 1.52 , 2.54 , 0.11 , 6.07 , 5.70 ,5.46, 3 , 24 ,9.5,0.2
