name,throws,age,stints,teamID,LG,POS1,W,L,CG,ShO,GP,GS,SV,GF,IPOuts, IP , ERA ,HA,ER,HRA,BBA,SOA,IBBA,WP,HPBA,BK,BFP,RA, CMD , DOM , CTL , HR9 , WHIP , WRIP ,HRBIB, RAVG , FIP , DERA , STUFF , GURU ,salary,WAR
Ia Kennedy,R,34,1,KCA,AL,Reliever,3,2,0,0,63,0,30,51,190,63.3, 3.41 ,64,24,6,17,73,1,3,1,0,266,24, 4.3 , 10.4 , 2.4 , 0.9 , 1.28 , 1.22 , 0.05 , 3.41 , 2.98 ,2.92, 184 , 94 ,16.5,1.5
Th Pannone,L,25,1,TOR,AL,Reliever,3,6,0,0,37,7,0,8,219,73.0, 6.16 ,73,50,13,31,69,1,6,6,0,325,51, 2.2 , 8.5 , 3.8 , 1.6 , 1.42 , 2.21 , 0.09 , 6.29 , 5.15 ,4.94, 34 , 17 ,0.298089,0.0
Br Kline,R,28,1,BAL,AL,Reliever,1,4,0,0,34,0,0,8,123,41.0, 5.93 ,44,27,9,19,34,0,3,1,0,183,28, 1.8 , 7.5 , 4.2 , 2.0 , 1.54 , 2.66 , 0.11 , 6.15 , 5.86 ,5.61, 6 , 8 ,0.280496,-0.2
De Rodriguez,R,27,1,SFN,NL,Reliever,6,11,0,0,28,16,0,4,297,99.0, 5.64 ,108,62,21,36,71,0,1,2,0,439,74, 2.0 , 6.5 , 3.3 , 1.9 , 1.45 , 2.48 , 0.10 , 6.73 , 5.67 ,5.43, 2 , 16 ,0.39221,-0.5
Ky Ryan,L,27,1,CHN,NL,Reliever,4,2,0,0,73,0,0,12,183,61.0, 3.54 ,55,24,5,29,58,2,1,1,0,260,26, 2.0 , 8.6 , 4.3 , 0.7 , 1.38 , 1.30 , 0.04 , 3.84 , 3.84 ,3.78, 61 , 38 ,0.528168,0.7
Jo Kelly,R,31,1,LAN,NL,Reliever,5,4,0,0,55,0,1,13,154,51.3, 4.56 ,49,26,6,22,62,2,10,3,0,226,31, 2.8 , 10.9 , 3.9 , 1.1 , 1.38 , 1.60 , 0.07 , 5.44 , 3.76 ,3.56, 151 , 43 ,3.0,0.4
Dr VerHagen,R,28,1,DET,AL,Reliever,4,3,0,0,22,4,0,3,174,58.0, 5.90 ,70,38,9,23,51,1,3,4,0,258,40, 2.2 , 7.9 , 3.6 , 1.4 , 1.60 , 1.95 , 0.08 , 6.21 , 4.86 ,4.63, 30 , 18 ,0.320355,0.2
Jo Brebbia,R,29,1,STL,NL,Reliever,3,4,0,0,66,0,0,22,218,72.7, 3.59 ,59,29,6,27,87,2,0,3,0,304,31, 3.2 , 10.8 , 3.3 , 0.7 , 1.18 , 1.20 , 0.05 , 3.84 , 3.12 ,3.02, 184 , 88 ,0.5693,1.3
Ol Perez,L,37,1,CLE,AL,Reliever,2,4,0,0,67,0,1,4,122,40.7, 3.98 ,38,18,5,12,48,2,1,3,0,173,20, 4.0 , 10.6 , 2.7 , 1.1 , 1.23 , 1.52 , 0.07 , 4.43 , 3.54 ,3.34, 171 , 50 ,2.5,0.6
Lu Farrell,R,28,1,TEX,AL,Reliever,1,0,0,0,9,1,0,3,40,13.3, 2.70 ,6,4,3,3,12,0,0,0,0,48,4, 4.0 , 8.1 , 2.0 , 2.0 , 0.68 , 2.48 , 0.12 , 2.70 , 5.00 ,4.97, 37 , 7 ,0.555,0.0
Ca Fulmer,R,25,1,CHA,AL,Reliever,1,2,0,0,20,2,0,3,82,27.3, 6.26 ,26,19,5,20,25,0,1,3,0,133,22, 1.3 , 8.2 , 6.6 , 1.6 , 1.68 , 2.56 , 0.10 , 7.24 , 6.27 ,5.99, 3 , 4 ,0.286464,-0.2
Ch Green,R,28,1,NYA,AL,Reliever,4,4,0,0,54,15,2,10,207,69.0, 4.17 ,66,32,10,19,98,0,2,6,0,295,35, 5.2 , 12.8 , 2.5 , 1.3 , 1.23 , 1.72 , 0.10 , 4.57 , 3.33 ,3.2, 294 , 71 ,0.540792,1.6
An Senzatela,R,24,1,COL,NL,Reliever,11,11,0,0,25,25,0,0,374,124.7, 6.71 ,161,93,19,57,76,5,1,4,3,582,99, 1.3 , 5.5 , 4.1 , 1.4 , 1.75 , 1.98 , 0.07 , 7.15 , 5.43 ,5.13, 0 , 23 ,0.454661,0.1
Ni Wittgren,R,28,1,CLE,AL,Reliever,5,1,0,0,55,0,4,13,173,57.7, 2.81 ,47,18,10,15,60,1,0,0,0,231,22, 4.0 , 9.4 , 2.3 , 1.6 , 1.08 , 1.99 , 0.10 , 3.43 , 4.15 ,3.95, 95 , 32 ,0.519216,0.4
Fr Liriano,L,35,1,PIT,NL,Reliever,5,3,0,0,69,0,0,8,210,70.0, 3.47 ,60,27,8,35,63,1,1,3,0,301,32, 1.8 , 8.1 , 4.5 , 1.0 , 1.36 , 1.64 , 0.06 , 4.11 , 4.51 ,4.47, 33 , 23 ,1.8,0.4
Am Garrett,L,27,1,CIN,NL,Reliever,5,3,0,0,69,0,0,4,168,56.0, 3.21 ,44,20,7,35,78,1,5,4,1,246,22, 2.2 , 12.5 , 5.6 , 1.1 , 1.41 , 1.88 , 0.08 , 3.54 , 4.13 ,4.0, 177 , 30 ,0.5675,0.5
Jo Quijada,L,24,1,MIA,NL,Reliever,2,3,0,0,34,0,1,9,89,29.7, 5.76 ,27,19,10,26,44,3,2,4,0,144,20, 1.7 , 13.3 , 7.9 , 3.0 , 1.79 , 4.25 , 0.29 , 6.07 , 7.65 ,6.89, 52 , 3 ,0.295416,-1.1
Jo Smith,L,30,2,MIA,NL,Reliever,0,0,0,0,14,0,0,6,38,12.7, 6.39 ,11,9,0,11,14,2,0,3,0,64,9, 1.3 , 9.9 , 7.8 , -   , 1.74 , 0.87 , -   , 6.39 , 4.31 ,3.92, 66 , 18 ,8.0,-0.4
He Hembree,R,30,1,BOS,AL,Reliever,1,0,0,0,45,0,2,14,119,39.7, 3.86 ,34,17,7,18,46,2,2,3,0,173,20, 2.6 , 10.4 , 4.1 , 1.6 , 1.31 , 2.22 , 0.11 , 4.54 , 4.76 ,4.41, 94 , 18 ,1.3125,0.1
Ry Yarbrough,L,27,1,TBA,AL,Reliever,11,6,0,0,28,14,0,1,425,141.7, 4.13 ,121,65,15,20,117,2,0,9,1,563,69, 5.9 , 7.4 , 1.3 , 1.0 , 1.00 , 1.20 , 0.05 , 4.38 , 3.54 ,3.49, 71 , 76 ,0.442234,2.6
Ol Drake,R,32,1,TBA,AL,Reliever,5,2,0,0,50,0,2,9,168,56.0, 3.21 ,36,20,9,19,70,1,1,1,0,219,20, 3.7 , 11.3 , 3.1 , 1.4 , 0.98 , 1.95 , 0.10 , 3.21 , 3.86 ,3.67, 171 , 40 ,0.36792,0.5
Yo Chirinos,R,25,1,TBA,AL,Reliever,9,5,0,0,26,18,0,0,400,133.3, 3.85 ,112,57,23,28,114,1,4,3,3,530,61, 4.1 , 7.7 , 1.9 , 1.6 , 1.05 , 1.94 , 0.09 , 4.12 , 4.43 ,4.28, 45 , 40 ,0.5618,1.3
